,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.2434328238116663,-1.9482529799090784,-1.7009313742267054,-2.671936813985006,-1.2833192984210413,1.8396403789520264,0.0
1,-1.2432985855362666,-1.9479009585078553,-1.7014200651951275,-2.671655383811115,-1.2832416181131066,1.8446403789520263,1.25
2,-1.2428958707100675,-1.9468448943041858,-1.7028861381003941,-2.6708110932894416,-1.2830085771893025,1.8596403789520264,2.5
3,-1.2422246793330687,-1.9450847872980703,-1.7053295929425052,-2.6694039424199856,-1.2826201756496292,1.8846403789520265,3.75
4,-1.241285011405271,-1.9426206374895085,-1.7087504297214606,-2.6674339312027473,-1.282076413494086,1.9196403789520267,5.0
5,-1.2400714752561943,-1.9394518091993957,-1.7131468300142132,-2.6648959801621572,-1.2813496473745651,1.9646403629364815,6.25
6,-1.2385692596874986,-1.9355765528365614,-1.718513803835416,-2.6617761341723893,-1.2803639456604294,2.0196403367021283,7.5
7,-1.2367667657037589,-1.9309934986086628,-1.724847442849719,-2.6580634648112875,-1.2790598438761194,2.0846402995325928,8.75
8,-1.2346498163902355,-1.9257020998917924,-1.7321397518068484,-2.653757886579414,-1.2773649468345525,2.159640235906,10.0
9,-1.232201212925653,-1.9197031354197367,-1.7403769118500705,-2.648876303564991,-1.275191799669276,2.244640157093712,11.25
10,-1.2294018889327405,-1.9129972336926606,-1.749543960523897,-2.6434355931678644,-1.2724445314149122,2.339640053841366,12.5
11,-1.226229581187118,-1.9055876240404808,-1.7596157108840424,-2.6374865911140546,-1.2690139720911198,2.4446399323548054,13.75
12,-1.2226601462960307,-1.8974787083483582,-1.7705611758831203,-2.6310981950263477,-1.2647859674933777,2.5596397862438236,15.0
13,-1.2186672912178356,-1.8886766138311986,-1.7823417764776384,-2.624364066739142,-1.259640314689733,2.684639618127914,16.25
14,-1.2142234087892598,-1.8791904978633776,-1.794906448948705,-2.617422454465654,-1.2534618459126357,2.8196394284709005,17.5
15,-1.2095776956896622,-1.8695943977281357,-1.807463236117317,-2.6108186792480534,-1.246570380212873,2.95659443714372,18.75
16,-1.2051468524823306,-1.8607210151102809,-1.8189243013761418,-2.605158269943308,-1.2396555441607084,3.083655712163574,20.0
17,-1.2009649112087915,-1.8525744513655409,-1.8293103299499451,-2.600391603501439,-1.2328770887477045,3.2007170021853706,21.25
18,-1.1970597482385417,-1.8451503263546538,-1.838654126761397,-2.596449619397184,-1.2263722466444804,3.307778309776844,22.5
19,-1.1934559030020728,-1.838443065140377,-1.84699156710146,-2.593245505893073,-1.2202537123907202,3.404839618622046,23.75
20,-1.1901736851896116,-1.8324465780539472,-1.8543589774473102,-2.5906837592920553,-1.2146036800259452,3.491900944670845,25.0
21,-1.1872316799340201,-1.8271551312294663,-1.8607900195131455,-2.5886750528958977,-1.2094984787265899,3.568962280057991,26.25
22,-1.1846439814296927,-1.8225629800941914,-1.866316882560442,-2.587128415046596,-1.2049826919752835,3.636023631963029,27.5
23,-1.1824229831026507,-1.818664972062103,-1.8709682186942738,-2.585962479073583,-1.2010956653305298,3.693084976804202,28.75
24,-1.180578726728493,-1.8154566978335513,-1.8747684135043317,-2.585107312356893,-1.1978665998893572,3.7401463333726634,30.0
25,-1.1791184095338902,-1.8129343488114509,-1.877738212116066,-2.584501571121031,-1.195308890917664,3.777207698593947,31.25
26,-1.1780476981265924,-1.8110949262370117,-1.8798939485501114,-2.5840969548899047,-1.1934330831574709,3.804269069760068,32.5
27,-1.1773711119070038,-1.809936038251371,-1.8812486504332195,-2.5838549408481137,-1.1922475865726292,3.8213304469625964,33.75
28,-1.176272978354345,-1.808055326908307,-1.8834469395511295,-2.5834629745986013,-1.1903234577836581,3.8284146681031475,35.0
29,-1.1745191928866754,-1.80505172327053,-1.8869577438128873,-2.582836971951449,-1.1872505097426995,3.8255205690540897,36.25
30,-1.1744362933457506,-1.8049097510091188,-1.8871236991479416,-2.582807373955471,-1.1871052561658664,3.813396434234832,37.5
31,-1.1744362941742321,-1.8049097612970268,-1.8871237037622897,-2.582807360432273,-1.1871052600977379,3.7913927461948047,38.75
32,-1.1744362953792333,-1.8049097762604736,-1.887123710473717,-2.5828073407631975,-1.1871052658165246,3.7593890581547775,40.0
33,-1.1744362968996545,-1.8049097960050684,-1.8871237189522607,-2.582807316248609,-1.1871052727930322,3.717385396160528,41.25
34,-1.1744362987672885,-1.8049098204758622,-1.8871237293696137,-2.582807286211875,-1.1871052813026215,3.665381739809693,42.5
35,-1.1744363017056147,-1.8049098483806914,-1.8871237424544993,-2.5828072504645108,-1.187105291361201,3.6033780851543917,43.75
36,-1.17443631235622,-1.804909867851012,-1.8871237644077516,-2.582807209615628,-1.1871053021534195,3.531374446230807,45.0
37,-1.1744363244836684,-1.8049098900246818,-1.8871237894128368,-2.5828071630799747,-1.187105314425135,3.4493708086391477,46.25
38,-1.1744363380804037,-1.8049099148993513,-1.8871238174792264,-2.58280711081349,-1.187105328113677,3.3573671762170996,47.5
39,-1.1744363618508107,-1.8049099386735175,-1.8871238477391716,-2.582807057338466,-1.1871053521813633,3.255363546800947,48.75
40,-1.1744363925665127,-1.804909962759421,-1.8871238805112718,-2.582807000992838,-1.1871053833282148,3.143359922419785,50.0
41,-1.1744364278075357,-1.8049099877543604,-1.8871239155642097,-2.582806941525917,-1.1871054190274533,3.0213563063224163,51.25
42,-1.1744364777096932,-1.804910006601611,-1.8871239492239378,-2.5828068898168794,-1.1871054693361887,2.8893526978136563,52.5
43,-1.1744365318005539,-1.8049100264086568,-1.8871239851084725,-2.5828068349886153,-1.1871055238580042,2.7473490916726386,53.75
44,-1.1744366003824942,-1.8049100353670353,-1.8871240150164177,-2.5828067971712105,-1.1871055927294514,2.5953454901382544,55.0
45,-1.1744366708926448,-1.804910042135634,-1.8871240434089913,-2.582806763081423,-1.1871056634985606,2.441188778058631,56.25
46,-1.1744367412736068,-1.804910037852771,-1.8871240610967002,-2.5828067507142127,-1.1871057339631217,2.2969017096657494,57.5
47,-1.1744368067209174,-1.8049100322186493,-1.887124075950794,-2.5828067424543875,-1.18710579946201,2.1626146412728624,58.75
48,-1.1744368669833314,-1.8049100178142217,-1.8871240807339031,-2.582806752933276,-1.1871058596259165,2.0383275728799677,60.0
49,-1.1744369223971012,-1.8049100045687645,-1.8871240851321602,-2.5828067625690467,-1.1871059149491054,1.9240405044870714,61.25
50,-1.1744369697390407,-1.8049099866146174,-1.8871240824838962,-2.582806783826066,-1.1871059621085047,1.8197534360941687,62.5
51,-1.1744370114765437,-1.804909968443555,-1.8871240778887188,-2.5828068071626817,-1.187106003647971,1.725466367701254,63.75
