,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-0.9153030562146908,-1.7956177530413,-1.8869793443001037,-2.596906622451021,-0.9306022901418011,-3.15089874014878,0.0
1,-0.9169593232386762,-1.7955049926788968,-1.8872038465903231,-2.5967551830227285,-0.9322564091164213,-3.14589874014878,1.25
2,-0.9219281243106324,-1.7951667115916874,-1.8878773534609807,-2.5963008647378496,-0.9372187660402819,-3.13089874014878,2.5
3,-0.9302094594305594,-1.7946029097796714,-1.8889998649120772,-2.5955436675963846,-0.9454893609133829,-3.1058987401487803,3.75
4,-0.9418036215110208,-1.7938144443487993,-1.8905702821919386,-2.5944838723457115,-0.9570684092583539,-3.070898742503147,5.0
5,-0.9567565272027689,-1.7929353718900818,-1.892416758721767,-2.5931653826036403,-0.9719897227171037,-3.0258988105896414,6.25
6,-0.9751402125511806,-1.7921759489505953,-1.894269768445942,-2.591657056195893,-0.9903063514986785,-2.9708989859307713,7.5
7,-0.9970179733980623,-1.7917255464858415,-1.8958865464246983,-2.5900210386314804,-1.0120645366509557,-2.9058993226233962,8.75
8,-1.0224218669211462,-1.7918053652055135,-1.8969832141630976,-2.5883332951344094,-1.0372776094522491,-2.830899850847155,10.0
9,-1.050225134138769,-1.792622722949666,-1.8972386790406341,-2.586743312916229,-1.0648095775650157,-2.7493301007715787,11.25
10,-1.0753128128427618,-1.7939996489907615,-1.8966392938594714,-2.585538223938406,-1.0895991418110453,-2.676043332168863,12.5
11,-1.0970438461452188,-1.7956774525611148,-1.8954896596718767,-2.584670041944734,-1.1110319699494253,-2.612756616453227,13.75
12,-1.1153685961701725,-1.7974362452805415,-1.894070514063956,-2.584065957275304,-1.1290777080156214,-2.5594700131085384,15.0
13,-1.1302609095421714,-1.799095967433212,-1.8926143980441719,-2.5836628307031977,-1.1437253007350523,-2.516183434903623,16.25
14,-1.1417167638964507,-1.8005132192517963,-1.8913095955830475,-2.5834062851764,-1.1549819432136779,-2.4828968883775806,17.5
15,-1.1497330267321326,-1.8015762913898206,-1.8903027811578608,-2.5832539605537175,-1.1628532414255552,-2.4596103758623338,18.75
16,-1.1556317269198801,-1.802372308124943,-1.889543824087003,-2.5831471301812594,-1.1686441968113002,-2.4462908854701784,20.0
17,-1.1642871579788927,-1.803540333817742,-1.8884301363990053,-2.582990414590064,-1.177141529091832,-2.442935785094528,21.25
18,-1.1722107497257597,-1.8046095963671056,-1.88741059264003,-2.582846974593864,-1.1849203897668839,-2.449577293400899,22.5
19,-1.174436316687113,-1.8049099245129172,-1.8871241958378522,-2.5828067190932735,-1.187105304931334,-2.464604581432367,23.75
20,-1.1744363148979513,-1.8049099157827768,-1.8871241447494191,-2.5828067791456304,-1.1871053032757852,-2.488033692168645,25.0
21,-1.1744363123451405,-1.8049099033264424,-1.887124071855449,-2.5828068648295,-1.1871053009136159,-2.521462802904923,26.25
22,-1.1744363090128216,-1.804909887163257,-1.8871239770967576,-2.582806976374457,-1.1871052977089191,-2.564891912422617,27.5
23,-1.1744363049079638,-1.804909867284719,-1.8871238604993537,-2.5828071136796122,-1.1871052937214208,-2.6183210215819903,28.75
24,-1.1744363019014221,-1.804909849012047,-1.8871237427228635,-2.5828072506165958,-1.187105290868614,-2.68175012843778,30.0
25,-1.1744363127817952,-1.8049098688380116,-1.8871237652034867,-2.5828072085946565,-1.1871053020378208,-2.7551792191802695,31.25
26,-1.1744363251433942,-1.8049098913637365,-1.8871237907466072,-2.582807160845645,-1.1871053147237711,-2.8386083062450025,32.5
27,-1.1744363389850732,-1.8049099165886675,-1.8871238193543072,-2.5828071073602334,-1.1871053289169973,-2.932037382810579,33.75
28,-1.1744363639440976,-1.8049099403156408,-1.8871238499827414,-2.582807053462883,-1.1871053542810222,-3.035466452177232,35.0
29,-1.1744363950526266,-1.8049099647088904,-1.8871238831688184,-2.5828069964141864,-1.1871053858401313,-3.1488955144783213,36.25
30,-1.1744364317753897,-1.8049099892527882,-1.8871239182408122,-2.5828069374133187,-1.1871054230287446,-3.2723245684011326,37.5
31,-1.1744364822163487,-1.8049100083036258,-1.887123952263819,-2.5828068851466446,-1.187105473880176,-3.4057536144047,38.75
32,-1.1744365378222867,-1.804910027195237,-1.887123987734478,-2.5828068316681767,-1.1871055299051874,-3.5491826515076843,40.0
33,-1.1744366070472854,-1.8049100362376134,-1.887124017922862,-2.5828067934961463,-1.1871055994223865,-3.7026115198993947,41.25
34,-1.1744366777039414,-1.8049100417211492,-1.887124045120764,-2.5828067618845556,-1.1871056703179461,-3.8559602773066217,42.5
35,-1.1744367476272106,-1.8049100374661382,-1.887124062693448,-2.58280674959777,-1.1871057403242715,-3.999309034718464,43.75
36,-1.1744368125815385,-1.8049100308177948,-1.8871240764159598,-2.582806743473477,-1.1871058053130512,-4.1326577921303045,45.0
37,-1.1744368723889986,-1.8049100165221144,-1.8871240811629577,-2.582806753873254,-1.187105865022748,-4.256006549542143,46.25
