,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.1716738602948664,-2.087809721752474,-2.0117619417843504,0.9678583790318968,1.18755021071622,-6.0963192823555055,0.0
1,-1.1716738598906817,-2.0878097193664344,-2.011761941395755,0.9678583762627206,1.1875502102738882,-6.091319282355506,1.25
2,-1.1716738586781281,-2.0878097122083177,-2.0117619402299702,0.9678583679551928,1.187550208946893,-6.076319282355506,2.5
3,-1.1716738566572051,-2.087809700278122,-2.011761938286994,0.9678583541093126,1.1875502067352341,-6.0513192823555055,3.75
4,-1.171673853827913,-2.0878096835758484,-2.011761935566828,0.9678583347250806,1.1875502036389118,-6.016319282355505,5.0
5,-1.171673850190252,-2.087809662101497,-2.0117619320694717,0.9678583098024965,1.1875501996579263,-5.9713192823555055,6.25
6,-1.1716738457451272,-2.0878096358469382,-2.0117619278021692,0.9678582793078427,1.1875501947998108,-5.916319297308966,7.5
7,-1.1716738404923095,-2.087809604814225,-2.0117619227630903,0.9678582432496377,1.1875501890626614,-5.8513193200372795,8.75
8,-1.171673834432633,-2.087809569002537,-2.011761916953048,0.9678582016248297,1.1875501824534496,-5.776319349552492,10.0
9,-1.1716738275666938,-2.0878095284096556,-2.011761910374058,0.9678581544243839,1.187550174977156,-5.691319387565473,11.25
10,-1.1716738198961116,-2.0878094830320975,-2.0117619030293583,0.9678581016344431,1.187550166647315,-5.596319430527247,12.5
11,-1.1716738145205716,-2.087809465283403,-2.0117618996934272,0.9678580804488005,1.1875501609135204,-5.557947613975815,13.75
12,-1.1716738156415973,-2.0878095142114077,-2.0117619062121253,0.9678581357705458,1.1875501624263638,-5.656713857811494,15.0
13,-1.171673816648904,-2.0878095581850586,-2.0117619120711643,0.9678581854890684,1.1875501637842238,-5.745480101647172,16.25
14,-1.1716738194086682,-2.08780959670888,-2.0117619175891073,0.9678582294129483,1.1875501668512676,-5.824246345482851,17.5
15,-1.1716738296748161,-2.0878096282537646,-2.0117619237492974,0.9678582669463074,1.1875501773706185,-5.893012589318528,18.75
16,-1.1716738384480592,-2.087809655211386,-2.0117619290136712,0.9678582990215584,1.1875501863602436,-5.951778833154205,20.0
17,-1.1716738457283926,-2.087809677581758,-2.011761933382216,0.9678583256387432,1.1875501938201045,-6.000545076989882,21.25
18,-1.1716738515158214,-2.0878096953648644,-2.011761936854947,0.9678583467978124,1.1875501997502462,-6.039311320825559,22.5
19,-1.171673855810346,-2.087809708560705,-2.0117619394318647,0.9678583624987647,1.18755020415067,-6.068077564661235,23.75
20,-1.1716738586119666,-2.0878097171692795,-2.0117619411129692,0.9678583727416001,1.187550207021376,-6.086843808496912,25.0
21,-1.1716738599206828,-2.0878097211905886,-2.011761941898261,0.9678583775263184,1.187550208362364,-6.095610052332589,26.25
22,-1.171673860026564,-2.087809721515931,-2.0117619419617947,0.9678583779134243,1.187550208470856,-6.096319281964077,26.720780475
