,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.1745207945453089,-1.80493671098818,-1.8870757261859339,-2.582719628010885,-1.1870206038104456,1.8885109424591064,0.0
1,-1.1745205296983456,-1.8049366832440858,-1.8870757299912375,-2.582720278665394,-1.187020353957864,1.8935109424591063,1.25
2,-1.174519735157456,-1.8049366000118043,-1.887075741407149,-2.5827222306289213,-1.1870196044001198,1.9085109424591065,2.5
3,-1.1745184109226394,-1.8049364612913346,-1.8870757604336679,-2.5827254839014664,-1.1870183551372122,1.9335109424591064,3.75
4,-1.1745165569938965,-1.8049362670826772,-1.8870757870707944,-2.582730038483029,-1.1870166061691416,1.968510942459106,5.0
5,-1.1745141733712272,-1.804936017385832,-1.8870758213185284,-2.5827358943736103,-1.187014357495908,2.0135109424591056,6.25
6,-1.1745113105278104,-1.8049357030312676,-1.8870758810902517,-2.5827430149640107,-1.1870120323066597,2.0685109382358764,7.5
7,-1.1745081246188416,-1.8049352956500249,-1.8870760218068803,-2.5827512869919698,-1.1870109398755087,2.1335109188899715,8.75
8,-1.1745044485698855,-1.8049348255947257,-1.8870761841722266,-2.5827608316399933,-1.1870096793779763,2.2085108995440668,10.0
9,-1.1745004598430038,-1.8049342162445883,-1.8870765759171864,-2.582770930443242,-1.1870097467860838,2.2935108678645157,11.25
10,-1.174496042575459,-1.8049335176243082,-1.88707706141698,-2.582782052478217,-1.1870101653992478,2.3885108335473832,12.5
11,-1.1744913966332162,-1.8049326142185311,-1.887077969918305,-2.5827930003177832,-1.1870126253568096,2.493510792009532,13.75
12,-1.1744864163391018,-1.8049315457926214,-1.8870791968394058,-2.582804123894494,-1.187016236883168,2.6085107497915048,15.0
13,-1.1744811594583082,-1.8049302652692985,-1.8870808819903238,-2.5828148951952357,-1.1870214909470742,2.733510706150874,16.25
14,-1.1744756971398267,-1.804928670258494,-1.8870833423995992,-2.5828240737669734,-1.1870290003341668,2.8685106536443117,17.5
15,-1.1744699938907799,-1.804926734468789,-1.88708667226452,-2.582831250196058,-1.1870384734180472,3.013510593966103,18.75
16,-1.174464033934401,-1.8049244092077084,-1.8870910341724025,-2.5828357506190684,-1.187049787311785,3.1685105271585936,20.0
17,-1.1744577897875956,-1.8049216307768747,-1.8870966424639763,-2.582836681847569,-1.1870627241184737,3.333510453364963,21.25
18,-1.174451205819859,-1.8049183408167013,-1.8871037008023848,-2.5828331738888513,-1.187076829946407,3.5085103737209478,22.5
19,-1.1744441987608654,-1.804914491733295,-1.887112384363887,-2.5828244528738167,-1.1870914181769714,3.6935102896077234,23.75
20,-1.1744366600917413,-1.804910051770125,-1.887122822732342,-2.5828099124752084,-1.1871055885236106,3.8885102000666016,25.0
21,-1.1744363180229642,-1.8049098668464065,-1.8871235580780175,-2.582807957545322,-1.1871054322330634,3.697168919076142,26.25
22,-1.1744363141108582,-1.80490988100353,-1.887123774284761,-2.582807195372916,-1.1871052693204907,3.4878488703905033,27.5
23,-1.1744363536820428,-1.8049099321321789,-1.8871238396735437,-2.5828070697709737,-1.187105343536495,3.2849550738597055,28.75
24,-1.1744364066364046,-1.8049099737487637,-1.8871238956584508,-2.5828069746280495,-1.1871053976166281,3.092061277328892,30.0
25,-1.1744364702250658,-1.8049100037717922,-1.8871239441721739,-2.582806897579827,-1.187105461835345,2.909167480798085,31.25
26,-1.1744365367976206,-1.8049100270616607,-1.887123987286765,-2.5828068322367277,-1.1871055288760795,2.7362736842672803,32.5
27,-1.1744366102930477,-1.804910036661697,-1.8871240193379735,-2.582806791707746,-1.1871056026816325,2.57337988773648,33.75
28,-1.1744366809910776,-1.8049100415211177,-1.8871240459468726,-2.582806761306924,-1.1871056736089003,2.420486091205681,35.0
29,-1.1744367506924314,-1.804910037279611,-1.8871240634637836,-2.5828067490591398,-1.1871057433930994,2.2775922946748857,36.25
