,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.1745207945453089,-1.8049843947040003,-1.8870757261859339,-2.58273154893984,-1.1870563665973108,1.8885228633880615,0.0
1,-1.1745205526353162,-1.8049842414016484,-1.887075746577945,-2.5827321188682917,-1.187056220395011,1.8935228633880616,1.25
2,-1.174519826905338,-1.8049837814945922,-1.8870758077539787,-2.5827338286536468,-1.1870557817881113,1.9085228633880615,2.5
3,-1.1745186173553746,-1.804983014982832,-1.887075909714035,-2.5827366782959054,-1.1870550507766118,1.9335228633880615,3.75
4,-1.1745169239854256,-1.8049819418663677,-1.8870760524581134,-2.5827406677950675,-1.1870540273605126,1.9685228633880612,5.0
5,-1.174514746795491,-1.8049805621451993,-1.8870762359862145,-2.5827457971511327,-1.1870527115398135,2.0135228633880615,6.25
6,-1.1745121205703657,-1.8049788640925177,-1.8870764902755282,-2.5827519692790233,-1.1870513959714606,2.068522859176126,7.5
7,-1.1745091529070888,-1.8049768114346127,-1.8870769080522116,-2.5827588838731392,-1.1870509859087393,2.1335228398829553,8.75
8,-1.174505728680095,-1.8049744429830903,-1.8870773901022502,-2.582766862251281,-1.1870505127594262,2.2085228205897853,10.0
9,-1.1745019610973895,-1.8049716874087758,-1.8870781421423866,-2.5827751477770127,-1.187050935007583,2.293522788928784,11.25
10,-1.1744977762397921,-1.804968591285963,-1.8870790298499962,-2.5827842344958576,-1.187051626811555,2.388522754623386,12.5
11,-1.1744932956308305,-1.8049650544574032,-1.8870803509713021,-2.582792996782639,-1.1870536213638363,2.493522713034741,13.75
12,-1.1744884506521904,-1.8049611154245975,-1.8870819962535847,-2.5828018303520697,-1.1870563385654087,2.6085226707385245,15.0
13,-1.174483273617897,-1.8049567359576204,-1.8870840826907285,-2.5828102817865264,-1.1870600552662243,2.733522626983227,16.25
14,-1.1744777952281658,-1.8049518388682853,-1.887086854713135,-2.582817377246243,-1.1870650419534792,2.8685225743434977,17.5
15,-1.174471984329329,-1.8049464101729717,-1.8870903653391466,-2.5828228782410427,-1.18707104102237,3.0135225145301576,18.75
16,-1.1744658194758126,-1.8049404185809008,-1.8870947217302465,-2.582826332658291,-1.1870778791215533,3.1685224475997877,20.0
17,-1.174459267649914,-1.8049338238888128,-1.8871000628800065,-2.5828271503303863,-1.1870852879147566,3.333522373718085,21.25
18,-1.174452276478101,-1.8049265925822997,-1.8871065105909188,-2.5828247971721514,-1.1870928362394462,3.508522294053745,22.5
19,-1.1744447757106782,-1.8049187014595556,-1.8871141573080155,-2.5828188458164556,-1.1870999418122037,3.6935222100342533,23.75
20,-1.1744366799976276,-1.804910140809098,-1.8871230550950076,-2.582809022528575,-1.1871058938352472,3.8885221207421026,25.0
21,-1.174436322558504,-1.8049098498789378,-1.8871236123917585,-2.5828077395008586,-1.1871054731323896,3.697156554518542,26.25
22,-1.1744363156402455,-1.8049098810870197,-1.8871237736625543,-2.582807199017788,-1.1871052820631327,3.4878365971037155,27.5
23,-1.1744363536628304,-1.8049099321963922,-1.8871238394810415,-2.5828070705472164,-1.1871053433414598,3.284943390937055,28.75
24,-1.174436406630316,-1.804909973764179,-1.8871238956213712,-2.5828069747801927,-1.1871053975411245,3.0920501847703807,30.0
25,-1.1744364702272787,-1.8049100037728423,-1.8871239441767353,-2.5828068975667753,-1.1871054618247574,2.9091569786037113,31.25
26,-1.17443653680215,-1.80491002706216,-1.887123987288978,-2.5828068322332345,-1.1871055288810635,2.736263772437045,32.5
27,-1.1744366102972827,-1.8049100366622146,-1.887124019339904,-2.582806791705055,-1.1871056026861073,2.573370566270383,33.75
28,-1.17443668099534,-1.80491004152086,-1.887124045947938,-2.5828067613061987,-1.1871056736131909,2.4204773601037237,35.0
29,-1.1744367506964037,-1.8049100372793703,-1.8871240634647792,-2.582806749058453,-1.1871057433970844,2.2775841539370685,36.25
30,-1.1744368154114841,-1.804910030141357,-1.887124076640577,-2.582806743965566,-1.187105808138371,2.144690947770416,37.5
31,-1.1744368749980636,-1.804910015898474,-1.887124081370043,-2.5828067543269366,-1.1871058676275483,2.021797741603766,38.75
32,-1.174436929735999,-1.8049100028145608,-1.8871240857146567,-2.58280676384519,-1.1871059222760068,1.908904535437117,40.0
33,-1.1744369758221784,-1.8049099839662301,-1.8871240818141601,-2.5828067872273204,-1.187105968162779,1.8060113292704703,41.25
34,-1.1744370169426688,-1.8049099660637944,-1.8871240772869133,-2.5828068102189468,-1.1871060090881604,1.7131181231038246,42.5
35,-1.1744370536365187,-1.8049099500885675,-1.8871240732470236,-2.582806830735514,-1.187106045607905,1.6302249169371787,43.75
36,-1.1744370817508372,-1.8049099327841556,-1.887124065264481,-2.582806856392105,-1.1871060735086023,1.5573317107705318,45.0
37,-1.1744371046817836,-1.804909916813577,-1.8871240569620724,-2.5828068809612397,-1.1871060962359032,1.4944385046038868,46.25
38,-1.1744371239667175,-1.8049099033823168,-1.887124049979742,-2.58280690162389,-1.1871061153495714,1.4415452984372408,47.5
39,-1.1744371396056383,-1.8049098924903748,-1.8871240443174906,-2.582806918380057,-1.1871061308496063,1.398652092270594,48.75
40,-1.174437151598546,-1.804909884137749,-1.8871240399753206,-2.5828069312297384,-1.187106142736007,1.3657588861039482,50.0
41,-1.1744371599454395,-1.8049098783244397,-1.8871240369532316,-2.582806940172935,-1.1871061510087737,1.3428656799373024,51.25
42,-1.1744559628423383,-1.8049569198957964,-1.8870626181598082,-2.5828214548274966,-1.1871249277334963,1.3299154807057607,52.5
43,-1.1757763218699597,-1.8082612829539413,-1.8827487685092923,-2.583840590224121,-1.1884434513936013,1.3249191252028454,53.75
44,-1.177118014957725,-1.811619048349482,-1.8783652062577274,-2.5848761938722733,-1.1897832809077833,1.3297461211383164,55.0
45,-1.1771428351444029,-1.8116811780331803,-1.878284100850207,-2.5848953565096897,-1.1898080703860112,1.3425317163858206,56.25
46,-1.177142827849333,-1.8116811845774579,-1.8782841010458873,-2.5848953595475255,-1.1898080698374633,1.365241533466855,57.5
47,-1.1771428173419647,-1.8116811940034303,-1.8782841013277327,-2.584895363923035,-1.1898080690473687,1.3979513505478893,58.75
48,-1.1771428036222986,-1.8116812063110987,-1.8782841016957437,-2.5848953696362207,-1.1898080680157275,1.440661167628924,60.0
49,-1.17714278697622,-1.8116812212970985,-1.8782841027464028,-2.584895374468293,-1.1898080691793997,1.4933709818877003,61.25
50,-1.1771427675305006,-1.8116812388712513,-1.8782841047442096,-2.5848953774353665,-1.1898080736189718,1.556080792937934,62.5
51,-1.177142742642631,-1.8116812575965404,-1.8782841074446113,-2.584895375219312,-1.189808069742872,1.6287906000521846,63.75
52,-1.1771427064043363,-1.8116812733057563,-1.8782841118166909,-2.584895353546181,-1.1898080347794215,1.7115003947799987,65.0
53,-1.1771426657655133,-1.811681290903147,-1.8782841167583242,-2.584895329072374,-1.1898079954299081,1.8042101830654,66.25
54,-1.177142620256538,-1.8116813095802176,-1.87828412127632,-2.5848953037577984,-1.189807951088359,1.9069199645953523,67.5
55,-1.1771425659403705,-1.8116813225378552,-1.878284116965315,-2.584895294285685,-1.1898078968048291,2.019629735637513,68.75
56,-1.1771425068039025,-1.8116813366464162,-1.8782841122679397,-2.5848952839880743,-1.1898078376948713,2.1423394986722633,70.0
57,-1.1771424425842645,-1.81168134390912,-1.878284099350457,-2.584895288693775,-1.189807773427774,2.2750492559451962,71.25
