,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.1745207945453089,-1.80493671098818,-1.8871000448810022,-2.58273154893984,-1.1870563665973108,1.8884869813919067,0.0
1,-1.1745205452597938,-1.804936675476472,-1.887100009732851,-2.582732092966604,-1.18705615901029,1.8934869813919069,1.25
2,-1.1745197974032484,-1.8049365689413477,-1.8870999042883974,-2.5827337250468965,-1.1870555362492266,1.9084869813919065,2.5
3,-1.174518550975673,-1.8049363913828071,-1.887099728547641,-2.582736445180717,-1.1870544983141214,1.9334869813919062,3.75
4,-1.1745168059770674,-1.8049361428008508,-1.8870994825105825,-2.5827402533680663,-1.1870530452049741,1.9684869813919061,5.0
5,-1.1745145624074316,-1.804935823195478,-1.8870991661772212,-2.582745149608943,-1.1870511769217844,2.013486981391906,6.25
6,-1.17451185828307,-1.8049354237353274,-1.8870987993189636,-2.582751080729062,-1.1870492125397176,2.068486977152055,7.5
7,-1.1745088112380693,-1.8049349170934228,-1.8870984431146365,-2.582757882190984,-1.1870481393758578,2.1334869577289246,8.75
8,-1.1745052954167745,-1.8049343325065863,-1.8870980321096267,-2.582765730031975,-1.1870469011098166,2.208486938305794,10.0
9,-1.1745014412525738,-1.8049336056695062,-1.8870977450473996,-2.5827739899296995,-1.1870465986590073,2.293486906530175,11.25
10,-1.174497163592978,-1.8049327785633875,-1.8870974652366796,-2.5827830759966837,-1.1870465132981185,2.3884868721123977,12.5
11,-1.1744926072000794,-1.8049317568741796,-1.8870974658833435,-2.5827919793425633,-1.1870478710559147,2.493486830469554,13.75
12,-1.1744876939760154,-1.8049305745029234,-1.8870976549758296,-2.5828010186024635,-1.1870500135862025,2.608486788148175,15.0
13,-1.1744824647640801,-1.8049291939317436,-1.8870981451733426,-2.582809764166522,-1.187053288783349,2.733486744406156,16.25
14,-1.1744769666363277,-1.8049275356681918,-1.8870991845592604,-2.582817239108492,-1.1870581041829742,2.868486691787644,17.5
15,-1.1744711704519175,-1.8049255814128353,-1.8871008397556988,-2.582823150959051,-1.1870642197674126,3.0134866319975133,18.75
16,-1.1744650605709124,-1.8049232952875036,-1.8871032315209622,-2.582826996387289,-1.1870715114656618,3.168486565095191,20.0
17,-1.1744586112771025,-1.8049206306333196,-1.8871065181904936,-2.5828281116761422,-1.1870797730365752,3.3334864912515942,21.25
18,-1.174451775668012,-1.80491754588408,-1.8871108465538053,-2.5828258648699123,-1.1870886204149473,3.5084864116194887,22.5
