,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,time_from_start
0,-1.2337835470782679,-1.9459388891803187,-1.7232611815081995,-2.600098435078756,-1.235953156148092,1.2799758911132812,0.0
1,-1.23367996636337,-1.9456751285955318,-1.723582821206694,-2.6000720634340797,-1.2358448793925556,1.2849758911132814,1.25
2,-1.233369224218676,-1.944883846841171,-1.7245477403021772,-2.5999929485000512,-1.235520049125946,1.2999758911132813,2.5
3,-1.2328513206441862,-1.9435650439172365,-1.7261559387946492,-2.5998610902766703,-1.2349786653482635,1.3249758911132812,3.75
4,-1.2321262556399004,-1.9417187198237285,-1.7284074166841101,-2.5996764887639374,-1.2342207280595079,1.3599758911132815,5.0
5,-1.2311940292058188,-1.9393448745606463,-1.7313021739705596,-2.5994391439618516,-1.233246237259679,1.4049758911132817,6.25
6,-1.2300535519507507,-1.9364431597481004,-1.734837686099558,-2.5991523758054886,-1.2320599656131646,1.4599761270582745,7.5
7,-1.2286939327667112,-1.9330101034284852,-1.7389886873706457,-2.5988493913315622,-1.2307096541521374,1.524978721585366,8.75
8,-1.2271251497494537,-1.929048905679348,-1.7437782787320653,-2.598499795722168,-1.2291516107581233,1.5999813161124568,10.0
9,-1.2253355670179173,-1.9245543301515906,-1.7491844288991703,-2.5981242729628535,-1.2274343367835838,1.6849857906439283,11.25
10,-1.2233286613416128,-1.9195279534574863,-1.7552136921406456,-2.5977166543093166,-1.2255433700194984,1.7799913077600689,12.5
11,-1.2210926360555998,-1.9139625514160459,-1.7618510922019208,-2.597276952159996,-1.2235199245067339,1.88499885472502,13.75
12,-1.2186328308382148,-1.9078607044179459,-1.7691064125439442,-2.596796858107442,-1.2213410076284745,2.000007384944217,15.0
13,-1.2159352046065977,-1.90121306838032,-1.7769659779778042,-2.5962657289068227,-1.219047087917346,2.1250175347346776,16.25
14,-1.2129943548546651,-1.8940148350160246,-1.7854322865517893,-2.595660303616487,-1.2166355522102867,2.2600284823633716,17.5
15,-1.2098062846952504,-1.8862627430141514,-1.7945074215588048,-2.594964158680332,-1.2140999645647448,2.40503955745576,18.75
16,-1.206360710103369,-1.8779499280424088,-1.8041892820628427,-2.5941494408592876,-1.2114402576036936,2.5600327413523147,20.0
17,-1.2028908124957731,-1.8696507070639896,-1.8138057797776197,-2.5932508530457383,-1.2088260573961742,2.7142107697191413,21.25
18,-1.1996063951672633,-1.861862213289768,-1.822788500074633,-2.5923241084376274,-1.2063907283576316,2.858386591026861,22.5
19,-1.1965027342118886,-1.8545823065770608,-1.8311393499988764,-2.5913586720657724,-1.2041093309145776,2.992559088756356,23.75
20,-1.1935932284604438,-1.8478212675539956,-1.8388620201172667,-2.5903878676617698,-1.2019668237207177,3.116728574249416,25.0
21,-1.1908920004318508,-1.8415886598979936,-1.8459587079282815,-2.5894437519371634,-1.1999688678184863,3.2308958271539154,26.25
22,-1.18839422763093,-1.8358821149417646,-1.8524286680679938,-2.5885197301741627,-1.1981034867323568,3.3350600688987084,27.5
23,-1.1861096137147271,-1.830708553844056,-1.8582727917427033,-2.5876408627266168,-1.1963733063613435,3.429221854434209,28.75
24,-1.184051327821596,-1.8260753376496037,-1.8634933824241329,-2.5868286749114495,-1.1948000164036034,3.5133820445728023,30.0
25,-1.1822170587036216,-1.8219820436492775,-1.8680892042444714,-2.5860854669772406,-1.1933736666012222,3.58754030045236,31.25
26,-1.1806145990673826,-1.8184327251096981,-1.8720618987973463,-2.585421820707211,-1.1921093045802564,3.651697026428363,32.5
27,-1.179254747849555,-1.815433204707574,-1.8754134907419822,-2.5848543580797454,-1.1910264055861575,3.7058537581434274,33.75
28,-1.1781391587734973,-1.8129842740355855,-1.8781444148555604,-2.58438475431128,-1.1901285728685878,3.750010487828268,35.0
29,-1.1772720020594818,-1.8110879283991466,-1.880255768890784,-2.5840172341202674,-1.1894248934927418,3.784167215866117,36.25
30,-1.1766565036893226,-1.8097457113137914,-1.8817484020499258,-2.583755065648589,-1.188922396996702,3.808323942659377,37.5
31,-1.176295258915157,-1.8089588645271268,-1.8826229974818292,-2.5836008780608744,-1.1886267385236144,3.8224806682229633,38.75
32,-1.1753222983409501,-1.8068396158460236,-1.884978604624484,-2.583185575407507,-1.1878304254938883,3.8271388776067714,40.0
33,-1.1744362975912939,-1.8049097807526437,-1.88712367872689,-2.582807385481611,-1.187105284237142,3.822352551401569,41.25
34,-1.174436297785769,-1.804909785054749,-1.8871236827282998,-2.5828073770095763,-1.1871052845346877,3.808500956448598,42.5
35,-1.1744362981206433,-1.8049097924627104,-1.8871236896184822,-2.5828073624212537,-1.1871052850470436,3.7846493614956285,43.75
36,-1.1744362985965304,-1.8049098029765591,-1.8871236993971852,-2.5828073417181105,-1.1871052857793298,3.7507977679984235,45.0
37,-1.1744362992277342,-1.8049098165970388,-1.8871237120585413,-2.5828073149343407,-1.1871052868508505,3.706946203352884,46.25
38,-1.174436300002879,-1.80490983332356,-1.8871237276072186,-2.5828072820427446,-1.1871052881667223,3.6530946387073455,47.5
39,-1.174436303665871,-1.8049098523225005,-1.887123746405159,-2.5828072438139866,-1.1871052923681042,3.589243075326632,48.75
40,-1.174436314619666,-1.8049098722562036,-1.8871237690331455,-2.5828072014846977,-1.187105303693079,3.515391514833749,50.0
41,-1.1744363270565181,-1.804909894889401,-1.887123794724054,-2.582807153427927,-1.187105316550134,3.4315399597662246,51.25
42,-1.1744363409763223,-1.8049099202223122,-1.8871238234771943,-2.582807099646405,-1.187105330938358,3.337688412474354,52.5
43,-1.174436367750996,-1.8049099433001747,-1.8871238540469775,-2.582807046469495,-1.1871053581409423,3.2338368754397724,53.75
44,-1.1744363989756423,-1.8049099677847313,-1.8871238873551177,-2.5828069892147694,-1.1871053898196284,3.119985345645685,55.0
45,-1.174436437342746,-1.8049099913554656,-1.8871239219960514,-2.5828069316444235,-1.1871054286418121,2.996133824157579,56.25
46,-1.174436487943384,-1.804910010466634,-1.8871239561267568,-2.582806879212345,-1.1871054796540066,2.862282309510719,57.5
47,-1.174436544848096,-1.8049100281129706,-1.8871239907983641,-2.582806827794027,-1.1871055369606534,2.718430796195705,58.75
48,-1.1744366142379832,-1.8049100371768851,-1.8871240210586557,-2.5828067895310616,-1.1871056066434353,2.5646364731026297,60.0
49,-1.174436684985402,-1.804910041278053,-1.8871240469506958,-2.5828067606050706,-1.1871056776080553,2.412297403923298,61.25
50,-1.1744367544161618,-1.8049100370530136,-1.8871240643996043,-2.5828067484048285,-1.1871057471212865,2.2699583347439405,62.5
51,-1.174436818840293,-1.8049100293217746,-1.887124076912725,-2.582806744561797,-1.187105811561575,2.1376192655645747,63.75
52,-1.1744368781581913,-1.804910015143114,-1.8871240816208652,-2.582806754876446,-1.1871058707825102,2.01528019638521,65.0
53,-1.1744369326274453,-1.8049100021234232,-1.8871240859441543,-2.5828067643479775,-1.1871059251627265,1.9029411272058454,66.25
54,-1.1744369782166688,-1.8049099829237516,-1.887124081550534,-2.582806788566147,-1.1871059705459077,1.8006020580264788,67.5
55,-1.1744370190918627,-1.8049099651281102,-1.8871240770502933,-2.5828068114206215,-1.187106011227157,1.7082629888471126,68.75
56,-1.1744370555404162,-1.8049099492596767,-1.88712407303741,-2.5828068318000366,-1.1871060475027688,1.6259239196677442,70.0
57,-1.1744370831169473,-1.8049099318327086,-1.8871240647698653,-2.58280685785581,-1.1871060748625804,1.5535848504883756,71.25
58,-1.1744371058458551,-1.8049099160028432,-1.887124056540607,-2.582806882208472,-1.1871060973896366,1.4912457813090065,72.5
59,-1.1744371249287497,-1.8049099027122963,-1.887124049631427,-2.58280690265465,-1.1871061163030598,1.4389067121296395,73.75
60,-1.1744371403656315,-1.804909891961067,-1.8871240440423263,-2.5828069191943444,-1.18710613160285,1.396567642950274,75.0
61,-1.1744371521564998,-1.8049098837491542,-1.8871240397733067,-2.5828069318275526,-1.187106143289006,1.3642285737709066,76.25
62,-1.1744371603013546,-1.8049098780765578,-1.8871240368243685,-2.5828069405542764,-1.1871061513615278,1.3418895045915402,77.5
63,-1.174479456297652,-1.8050157147278854,-1.8869858612549129,-2.5828395885845423,-1.1871483885305918,1.32942495819481,78.75
64,-1.175873137693187,-1.8085035770585989,-1.8824324534595815,-2.583915318675536,-1.1885401326421696,1.3249292569914808,80.0
65,-1.1771349159167943,-1.8116613457198365,-1.8783099872131679,-2.584889239267377,-1.1898001585202322,1.3302395626136907,81.25
66,-1.177142834824227,-1.8116811783204045,-1.8782841008587954,-2.584895356643018,-1.189808070361936,1.3435284362441078,82.5
67,-1.1771428273511515,-1.8116811850243673,-1.8782841010592504,-2.584895359754979,-1.189808069800003,1.3667923903124204,83.75
68,-1.177142816665778,-1.8116811946100255,-1.8782841013458706,-2.5848953642046144,-1.1898080689965234,1.4000563443807328,85.0
69,-1.1771428027681061,-1.8116812070773791,-1.8782841017186565,-2.584895369991926,-1.189808067951497,1.443320298449044,86.25
70,-1.177142785979816,-1.8116812221976026,-1.8782841028487711,-2.5848953746203263,-1.1898080694068847,1.4965842493609098,87.5
71,-1.1771427663622642,-1.81168123992705,-1.8782841048642318,-2.5848953776136185,-1.189808073885687,1.5598481973984202,88.75
72,-1.1771427407492006,-1.8116812584173378,-1.8782841076730499,-2.5848953740869023,-1.1898080679160512,1.6331121405954612,90.0
73,-1.1771427042681177,-1.8116812742318027,-1.8782841120744216,-2.5848953522685667,-1.1898080327183533,1.7163760723105548,91.25
74,-1.1771426633844633,-1.8116812919332526,-1.8782841170497147,-2.5848953276303233,-1.1898079931176517,1.8096399969188113,92.5
75,-1.177142617372802,-1.8116813102681601,-1.8782841210474417,-2.5848953032549082,-1.1898079482063555,1.912903914787954,93.75
76,-1.1771425627895895,-1.8116813232895037,-1.8782841167152415,-2.5848952937362246,-1.189807893655941,2.0261678228173925,95.0
77,-1.177142503385995,-1.8116813374618586,-1.878284111996405,-2.5848952833930667,-1.1898078342783989,2.149431722310626,96.25
78,-1.1771424388777025,-1.8116813441332789,-1.8782840984157625,-2.5848952893497996,-1.189807769716672,2.2826956162345096,97.5
79,-1.1771423694308036,-1.8116813483331948,-1.8782840809030432,-2.5848953016415743,-1.1898077001851495,2.425959508541724,98.75
80,-1.1771422992067926,-1.8116813429707392,-1.8782840538914845,-2.584895332953347,-1.1898076297237736,2.5792233958815647,100.0
81,-1.1771422260027569,-1.8116813333797852,-1.8782840218603525,-2.5848953734556366,-1.1898075562090336,2.742487276828164,101.25
82,-1.1771421634597035,-1.8116813108868648,-1.878283980650046,-2.5848954361612666,-1.1898074931727605,2.906948352523995,102.5
83,-1.1771421077824766,-1.8116812872940813,-1.8782839405081124,-2.584895498997705,-1.1898074369996248,3.0614475803543617,103.75
84,-1.177142068398274,-1.811681256394861,-1.8782838983544954,-2.5848955713745485,-1.1898073970383845,3.2059468081847164,105.0
85,-1.1771420337855278,-1.811681226744024,-1.878283858892083,-2.584895639886574,-1.1898073618787834,3.340446036015059,106.25
86,-1.1771420154410142,-1.8116811933403063,-1.8782838208508381,-2.5848957109623703,-1.1898073429628044,3.464945263845385,107.5
87,-1.177141998569965,-1.8116811626196423,-1.878283785865127,-2.5848957763292315,-1.189807325566191,3.5794444916756927,108.75
88,-1.1771419933538294,-1.8116811321521211,-1.8782837547458047,-2.5848958377512146,-1.1898073198536996,3.683943719505983,110.0
89,-1.1771419923900188,-1.8116811037044442,-1.8782837269033301,-2.584895893945733,-1.189807318434878,3.778442947336263,111.25
90,-1.1771419915282,-1.8116810782671329,-1.8782837020071688,-2.5848959441936934,-1.1898073171661976,3.8629421751665296,112.5
91,-1.177141996581892,-1.811681055488637,-1.87828368152328,-2.584895987466439,-1.18980732186814,3.937441402996786,113.75
92,-1.1771420048232426,-1.8116810355339101,-1.8782836647638006,-2.5848960242466408,-1.1898073298095853,4.00194063082704,115.0
93,-1.177142011786849,-1.8116810186729781,-1.8782836506027198,-2.584896055324418,-1.189807336519784,4.056439858657287,116.25
94,-1.1771420174727116,-1.8116810049058407,-1.878283639040037,-2.5848960806997696,-1.1898073419987365,4.10093908648753,117.5
95,-1.17714202188083,-1.8116809942324958,-1.8782836300757548,-2.5848961003726965,-1.1898073462464425,4.135438314317772,118.75
96,-1.1771420250112044,-1.8116809866529435,-1.878283623709874,-2.5848961143431977,-1.1898073492629015,4.15993754214802,120.0
97,-1.1771420268638346,-1.8116809821671833,-1.8782836199423933,-2.5848961226112737,-1.189807351048114,4.174436769978266,121.25
98,-1.1781794914788584,-1.8143092714506617,-1.8748316664153926,-2.585727315615229,-1.1908432839333467,4.180746657063898,122.5
99,-1.1796809595828444,-1.8181130640952459,-1.8698358334500176,-2.586930253042946,-1.192342536638304,4.177465831506955,123.75
100,-1.1798098313519492,-1.8184395513215244,-1.8694070377404983,-2.5870335005054335,-1.192471222667375,4.1660386273728705,125.0
101,-1.1798098298082862,-1.8184395583194723,-1.8694070413074289,-2.5870334968825026,-1.1924712294672994,4.144975506641134,126.25
102,-1.1798098275317486,-1.8184395686397903,-1.8694070465678083,-2.587033491539538,-1.1924712394955799,4.113912385909405,127.5
103,-1.1798098245223365,-1.8184395822824784,-1.8694070535216358,-2.587033484476538,-1.1924712527522159,4.07284926517767,128.75
104,-1.1798098206327976,-1.8184395993958502,-1.869407061718555,-2.5870334774139883,-1.1924712679675074,4.021786148148641,130.0
105,-1.1798098156058314,-1.8184396202390616,-1.8694070703716343,-2.5870334733581766,-1.1924712829228459,3.9607230396434403,131.25
106,-1.1798098102659955,-1.8184396442669482,-1.8694070812719605,-2.587033465777709,-1.1924712989537243,3.889659932385047,132.5
107,-1.179809810952513,-1.8184396686387,-1.8694071047309802,-2.5870334191434043,-1.1924712989986512,3.8085968401915755,133.75
108,-1.179809811711172,-1.818439696008934,-1.8694071311131606,-2.5870333666286074,-1.1924712989446165,3.7175337524623475,135.0
109,-1.1798098125307812,-1.818439726370485,-1.8694071604445783,-2.587033308119469,-1.1924712986984163,3.6164706722498186,136.25
110,-1.1798098278498774,-1.8184397562155192,-1.869407194203229,-2.5870332448445224,-1.1924713143815096,3.505407603013686,137.5
111,-1.1798098455728656,-1.81843978849706,-1.8694072311121195,-2.5870331759360834,-1.1924713326195735,3.384344540930079,138.75
112,-1.179809873573351,-1.8184398196189893,-1.8694072700817437,-2.587033106311247,-1.1924713611625517,3.2532814851776317,140.0
113,-1.1798099117840173,-1.8184398496107068,-1.869407311118371,-2.5870330359368485,-1.192471399939092,3.1122184323437243,141.25
114,-1.179809960628261,-1.818439876214443,-1.869407352174736,-2.587032969080835,-1.1924714493167343,2.9611553830248942,142.5
115,-1.1798100207631337,-1.8184398989729695,-1.8694073930113708,-2.587032906448141,-1.1924715099462988,2.800092340354285,143.75
116,-1.1798100912807405,-1.8184399125927118,-1.8694074282032411,-2.58703285872799,-1.19247158083483,2.6341864795760164,145.0
